Index,Species,Bin,ef
130,CO,8,0.108936242
130,CO,9,0.035606176
130,HC,1,0.04419644
130,HC,10,0.102749518
130,HC,11,0.115703194
130,HC,12,0.129270088
130,HC,13,0.13854338
130,HC,14,0.140545124
130,HC,15,0.141204388
130,HC,16,0.152573463
130,HC,17,0.15579922
130,HC,18,0.214127059
130,HC,19,0.189816709
130,HC,2,0.036249454
130,HC,20,0.17160311
130,HC,21,0.178512813
130,HC,22,0.147474905
130,HC,23,0.175080955
130,HC,3,0.075016337
130,HC,4,0.085172381
130,HC,5,0.096392505
130,HC,6,0.112956347
130,HC,7,0.130058123
130,HC,8,0.137660795
130,HC,9,0.080405788
130,NOx,1,0.030511107
130,NOx,10,0.125427781
130,NOx,11,0.152340643
130,NOx,12,0.166287232
130,NOx,13,0.192010321
130,NOx,14,0.226030862
130,NOx,15,0.265746808
130,NOx,16,0.308144403
130,NOx,17,0.182847673
130,NOx,18,0.540520427
130,NOx,19,0.367485219
130,NOx,2,0.024817234
130,NOx,20,0.357436195
130,NOx,21,0.415872237
130,NOx,22,0.14853226
130,NOx,23,0.143832722
130,NOx,3,0.059088312
130,NOx,4,0.08091479
130,NOx,5,0.095403598
130,NOx,6,0.11965299
130,NOx,7,0.16194412
130,NOx,8,0.187154093
130,NOx,9,0.071914657
130,PM2.5,1,0.001988204
130,PM2.5,10,0.005567194
130,PM2.5,11,0.006749253
130,PM2.5,12,0.007567978
130,PM2.5,13,0.009343447
130,PM2.5,14,0.014196109
130,PM2.5,15,0.019642868
130,PM2.5,16,0.024365211
130,PM2.5,17,0.022727756
130,PM2.5,18,0.016765976
130,PM2.5,19,0.025652506
130,PM2.5,2,0.001408151
130,PM2.5,20,0.047698645
130,PM2.5,21,0.040462
130,PM2.5,22,0.044311177
130,PM2.5,23,0.093390557
130,PM2.5,3,0.002782288
130,PM2.5,4,0.003568996
130,PM2.5,5,0.004580756
130,PM2.5,6,0.006532067
130,PM2.5,7,0.011174382
130,PM2.5,8,0.015369607
130,PM2.5,9,0.004488337
131,CO,1,0.008278927
131,CO,10,0.021415263
131,CO,11,0.023488446
131,CO,12,0.027053618
131,CO,13,0.029473567
131,CO,14,0.037335082
131,CO,15,0.048334479
131,CO,16,0.048767929
131,CO,17,0.038443252
131,CO,18,0.044659072
131,CO,19,0.042963985
131,CO,2,0.011377199
131,CO,20,0.064298039
131,CO,21,0.057238265
131,CO,22,0.082040274
131,CO,23,0.06709913
131,CO,3,0.017224776
131,CO,4,0.022145755
131,CO,5,0.023854942
131,CO,6,0.028549673
131,CO,7,0.033219039
131,CO,8,0.046378003
131,CO,9,0.015158806
131,HC,1,0.009709578
131,HC,10,0.022573186
131,HC,11,0.025418997
